 TIME                     Farbe_links [C]     Farbe_rechts [C]    Tape_links [C]      Tape_rechts [C]     
 2018-08-09_14:40:21      9.9e+37             26.6165             26.6983             26.6806             
 2018-08-09_14:40:32      9.9e+37             26.627              26.7045             26.6838             
 2018-08-09_14:40:43      9.9e+37             26.6307             26.7076             26.6879             
 2018-08-09_14:40:53      9.9e+37             26.6361             26.7119             26.6944             
 2018-08-09_14:41:04      9.9e+37             26.6405             26.716              26.6968             
 2018-08-09_14:41:15      9.9e+37             26.6482             26.7246             26.7052             
 2018-08-09_14:41:25      9.9e+37             26.6569             26.73               26.7151             
 2018-08-09_14:41:36      9.9e+37             26.6676             26.7301             26.7204             
 2018-08-09_14:41:46      9.9e+37             26.6718             26.7389             26.7237             
 2018-08-09_14:41:57      9.9e+37             26.6717             26.7403             26.722              
 2018-08-09_14:42:08      9.9e+37             26.6708             26.74               26.7252             
 2018-08-09_14:42:18      9.9e+37             26.6745             26.7399             26.7238             
 2018-08-09_14:42:29      9.9e+37             26.6744             26.742              26.7256             
 2018-08-09_14:42:40      9.9e+37             26.6737             26.7433             26.7285             
 2018-08-09_14:42:50      9.9e+37             26.6728             26.7445             26.7276             
 2018-08-09_14:43:01      9.9e+37             26.6743             26.7446             26.7297             
 2018-08-09_14:43:12      9.9e+37             26.6742             26.7485             26.7326             
 2018-08-09_14:43:22      9.9e+37             26.6793             26.7505             26.7367             
 2018-08-09_14:43:33      9.9e+37             26.6824             26.7525             26.7381             
 2018-08-09_14:43:44      9.9e+37             26.6839             26.7559             26.7392             
 2018-08-09_14:43:54      9.9e+37             26.6857             26.7577             26.7386             
 2018-08-09_14:44:05      9.9e+37             26.688              26.7592             26.7429             
 2018-08-09_14:44:16      9.9e+37             26.6878             26.7603             26.7436             
 2018-08-09_14:44:26      9.9e+37             26.688              26.7601             26.7458             
 2018-08-09_14:44:37      9.9e+37             26.6878             26.7631             26.7454             
 2018-08-09_14:44:48      9.9e+37             26.6905             26.7651             26.7482             
 2018-08-09_14:44:58      9.9e+37             26.6946             26.7676             26.7501             
 2018-08-09_14:45:09      9.9e+37             26.6933             26.7675             26.7502             
 2018-08-09_14:45:20      9.9e+37             26.6941             26.7695             26.7513             
 2018-08-09_14:45:30      9.9e+37             26.6943             26.7721             26.753              
 2018-08-09_14:45:41      9.9e+37             26.6963             26.772              26.756              
 2018-08-09_14:45:52      9.9e+37             26.6995             26.7745             26.7557             
 2018-08-09_14:46:02      9.9e+37             26.7015             26.7768             26.759              
 2018-08-09_14:46:13      9.9e+37             26.7029             26.7784             26.7597             
 2018-08-09_14:46:24      9.9e+37             26.7063             26.7814             26.7635             
 2018-08-09_14:46:34      9.9e+37             26.7078             26.783              26.7641             
 2018-08-09_14:46:45      9.9e+37             26.7083             26.7846             26.7659             
 2018-08-09_14:46:56      9.9e+37             26.712              26.7867             26.7693             
 2018-08-09_14:47:06      9.9e+37             26.7138             26.7868             26.7699             
 2018-08-09_14:47:17      9.9e+37             26.7127             26.7889             26.7734             
 2018-08-09_14:47:27      9.9e+37             26.715              26.7916             26.7746             
 2018-08-09_14:47:38      9.9e+37             26.7187             26.7937             26.7782             
 2018-08-09_14:47:49      9.9e+37             26.7213             26.7925             26.7771             
 2018-08-09_14:47:59      9.9e+37             26.7216             26.7933             26.7779             
 2018-08-09_14:48:10      9.9e+37             26.7225             26.7978             26.7789             
 2018-08-09_14:48:21      9.9e+37             26.7231             26.7985             26.7822             
 2018-08-09_14:48:31      9.9e+37             26.7249             26.7992             26.7838             
 2018-08-09_14:48:42      9.9e+37             26.7255             26.8009             26.7844             
 2018-08-09_14:48:53      9.9e+37             26.7304             26.8033             26.7856             
 2018-08-09_14:49:03      9.9e+37             26.7284             26.8076             26.792              
 2018-08-09_14:49:14      9.9e+37             26.7331             26.812              26.7963             
 2018-08-09_14:49:25      9.9e+37             26.735              26.8119             26.7988             
 2018-08-09_14:49:35      9.9e+37             26.7373             26.8086             26.7997             
 2018-08-09_14:49:46      9.9e+37             26.7376             26.8091             26.7994             
